Name,Surname,Surname1,Surname2,account,Dni,Delegation,Departament,Enabled,Password,TurnPassDays,email,Computer,ChangePass,Schedule,EmailList
BASILIO,PUJOL GOMIS,PUJOL,GOMIS,BPUJOLG,12345685-H,Gandia,Enfermería,S,Caminas01,15,bgomisp@hgandia.san-gva.es,W7/10HFB-1,S,8AM -To 3PM,N
MIRIAM,JUAN VALENCIA,JUAN,VALENCIA,MJUANV,12345686-I,Gandia,Enfermería,S,Caminas01,15,mjuanv@hgandia.san-gva.es,W7/10HFB-2,S,8AM -To 3PM,N
IGNACIO,CHAVES VARGAS,CHAVES,VARGAS,ICHAVESV,12345687-J,Gandia,Enfermería,S,Caminas01,15,ichavesv@hgandia.san-gva.es,W7/10HFB-3,S,8AM -To 3PM,N
LAURA,ALBA ARIAS,ALBA,ARIAS,LALBAA,12345688-K,Gandia,Enfermería,S,Caminas01,15,lalbaa@hgandia.san-gva.es,W7/10HFB-4,S,8AM -To 3PM,N
JORGE,CARVALHO PELLICER,CARVALHO,PELLICER,JCARVALHOP,12345689-L,Gandia,Enfermería,S,Caminas01,15,jcarvalhop@hgandia.san-gva.es,W7/10HFB-5,S,8AM -To 3PM,N
ANTONIO,CAMPOS GALLEGO,CAMPOS,GALLEGO,ACAMPOSG,12345690-M,Gandia,Enfermería,S,Caminas01,15,acamposg@hgandia.san-gva.es,W7/10HFB-6,S,8AM -To 3PM,N
CLAUDIO,MONCHO AGUILAR,MONCHO,AGUILAR,CMONCHOA,12345691-N,Gandia,Enfermería,S,Caminas01,15,cmonchoa@hgandia.san-gva.es,W7/10HFB-7,S,8AM -To 3PM,N
PEPE,CHAVES CAMPOS,CHAVES,CAMPOS,PCHAVESC,12345692-O,Gandia,Enfermería,S,Caminas01,15,pchavesc@hgandia.san-gva.es,W7/10HFB-8,S,8AM -To 3PM,N
SARA,ALBA MONCHO,ALBA,MONCHO,SALBAM,12345693-P,Gandia,Enfermería,S,Caminas01,15,salbam@hgandia.san-gva.es,W7/10HFB-9,S,8AM -To 3PM,N
ISABEL,CARVALHO ALABAU,CARVALHO,ALABAU,ICARVALHOA,12345694-Q,Gandia,Enfermería,S,Caminas01,15,icarvalhoa@hgandia.san-gva.es,W7/10HFB-10,S,8AM -To 3PM,N
FRANCISCO,CAMPOS GOMIS,CAMPOS,GOMIS,FCAMPOSG,12345695-R,Gandia,Enfermería,S,Caminas01,15,fcamposg@hgandia.san-gva.es,W7/10HFB-11,S,8AM -To 3PM,N
BASILIO,MONCHO COELLO,MONCHO,COELLO,BMONCHOC,12345696-S,Gandia,Enfermería,S,Caminas01,15,bmonchoc@hgandia.san-gva.es,W7/10HFB-12,S,8AM -To 3PM,N
MIRIAM,JUAN PUJOL,JUAN,PUJOL,MJUANP,12345697-T,Gandia,Alergología,S,Caminas01,7,mjuanp@hgandia.san-gva.es,W7/10HFB-13,S,9AM -To 7PM,N
IGNACIO,CHAVES JUAN,CHAVES,JUAN,ICHAVESJ,12345698-U,Gandia,Alergología,S,Caminas01,7,ichavesj@hgandia.san-gva.es,W7/10HFB-14,S,9AM -To 7PM,N
LAURA,ALBA ALABAU,ALBA,ALABAU,LALBAA,12345699-V,Gandia,Alergología,S,Caminas01,7,lalbaa@hgandia.san-gva.es,W7/10HFB-15,S,9AM -To 7PM,N
